"TIME","GEO","SEX","UNIT","Value","Flag and Footnotes"
"2020W05","AT111","Männer","Anzahl","5","p"
"2020W05","AT111","Frauen","Anzahl","3","p"
"2020W05","AT112","Insgesamt","Anzahl","29","p"
"2020W05","AT112","Männer","Anzahl","15","p"
"2020W05","AT112","Frauen","Anzahl","14","p"
"2020W05","AT113","Insgesamt","Anzahl","30","p"
"2020W05","AT113","Männer","Anzahl","16","p"
"2020W05","AT113","Frauen","Anzahl","14","p"
"2020W05","AT121","Insgesamt","Anzahl","53","p"
"2020W05","AT121","Männer","Anzahl","26","p"
"2020W05","AT121","Frauen","Anzahl","27","p"
"2020W05","AT122","Insgesamt","Anzahl","47","p"
"2020W05","AT122","Männer","Anzahl","19","p"
"2020W05","AT122","Frauen","Anzahl","28","p"
"2020W05","AT123","Insgesamt","Anzahl","35","p"
"2020W05","AT123","Männer","Anzahl","15","p"
"2020W05","AT123","Frauen","Anzahl","20","p"
"2020W05","AT124","Insgesamt","Anzahl","58","p"
"2020W05","AT124","Männer","Anzahl","30","p"
"2020W05","AT124","Frauen","Anzahl","28","p"
"2020W05","AT125","Insgesamt","Anzahl","24","p"
"2020W05","AT125","Männer","Anzahl","12","p"
"2020W05","AT125","Frauen","Anzahl","12","p"
"2020W05","AT126","Insgesamt","Anzahl","97","p"
"2020W05","AT126","Männer","Anzahl","51","p"
"2020W05","AT126","Frauen","Anzahl","46","p"
"2020W05","AT127","Insgesamt","Anzahl","80","p"
"2020W05","AT127","Männer","Anzahl","32","p"
"2020W05","AT127","Frauen","Anzahl","48","p"
"2020W05","AT130","Insgesamt","Anzahl","395","p"
"2020W05","AT130","Männer","Anzahl","177","p"
"2020W05","AT130","Frauen","Anzahl","218","p"
"2020W05","AT211","Insgesamt","Anzahl","63","p"
"2020W05","AT211","Männer","Anzahl","33","p"
"2020W05","AT211","Frauen","Anzahl","30","p"
"2020W05","AT212","Insgesamt","Anzahl","35","p"
"2020W05","AT212","Männer","Anzahl","22","p"
"2020W05","AT212","Frauen","Anzahl","13","p"
"2020W05","AT213","Insgesamt","Anzahl","43","p"
"2020W05","AT213","Männer","Anzahl","21","p"
"2020W05","AT213","Frauen","Anzahl","22","p"
"2020W05","AT221","Insgesamt","Anzahl","89","p"
"2020W05","AT221","Männer","Anzahl","43","p"
"2020W05","AT221","Frauen","Anzahl","46","p"
"2020W05","AT222","Insgesamt","Anzahl","18","p"
"2020W05","AT222","Männer","Anzahl","6","p"
"2020W05","AT222","Frauen","Anzahl","12","p"
"2020W05","AT223","Insgesamt","Anzahl","52","p"
"2020W05","AT223","Männer","Anzahl","28","p"
"2020W05","AT223","Frauen","Anzahl","24","p"
"2020W05","AT224","Insgesamt","Anzahl","65","p"
"2020W05","AT224","Männer","Anzahl","25","p"
"2020W05","AT224","Frauen","Anzahl","40","p"
"2020W05","AT225","Insgesamt","Anzahl","50","p"
"2020W05","AT225","Männer","Anzahl","21","p"
"2020W05","AT225","Frauen","Anzahl","29","p"
"2020W05","AT226","Insgesamt","Anzahl","21","p"
"2020W05","AT226","Männer","Anzahl","8","p"
"2020W05","AT226","Frauen","Anzahl","13","p"
"2020W05","AT311","Insgesamt","Anzahl","63","p"
"2020W05","AT311","Männer","Anzahl","29","p"
"2020W05","AT311","Frauen","Anzahl","34","p"
"2020W05","AT312","Insgesamt","Anzahl","132","p"
"2020W05","AT312","Männer","Anzahl","68","p"
"2020W05","AT312","Frauen","Anzahl","64","p"
"2020W05","AT313","Insgesamt","Anzahl","52","p"
"2020W05","AT313","Männer","Anzahl","31","p"
"2020W05","AT313","Frauen","Anzahl","21","p"
"2020W05","AT314","Insgesamt","Anzahl","41","p"
"2020W05","AT314","Männer","Anzahl","17","p"
"2020W05","AT314","Frauen","Anzahl","24","p"
"2020W05","AT315","Insgesamt","Anzahl","52","p"
"2020W05","AT315","Männer","Anzahl","25","p"
"2020W05","AT315","Frauen","Anzahl","27","p"
"2020W05","AT321","Insgesamt","Anzahl","3","p"
"2020W05","AT321","Männer","Anzahl","2","p"
"2020W05","AT321","Frauen","Anzahl","1","p"
"2020W05","AT322","Insgesamt","Anzahl","35","p"
"2020W05","AT322","Männer","Anzahl","13","p"
"2020W05","AT322","Frauen","Anzahl","22","p"
"2020W05","AT323","Insgesamt","Anzahl","76","p"
"2020W05","AT323","Männer","Anzahl","29","p"
"2020W05","AT323","Frauen","Anzahl","47","p"
"2020W05","AT331","Insgesamt","Anzahl","4","p"
"2020W05","AT331","Männer","Anzahl","3","p"
"2020W05","AT331","Frauen","Anzahl","1","p"
"2020W05","AT332","Insgesamt","Anzahl","47","p"
"2020W05","AT332","Männer","Anzahl","20","p"
"2020W05","AT332","Frauen","Anzahl","27","p"
"2020W05","AT333","Insgesamt","Anzahl","17","p"
"2020W05","AT333","Männer","Anzahl","10","p"
"2020W05","AT333","Frauen","Anzahl","7","p"
"2020W05","AT334","Insgesamt","Anzahl","20","p"
"2020W05","AT334","Männer","Anzahl","9","p"
"2020W05","AT334","Frauen","Anzahl","11","p"
"2020W05","AT335","Insgesamt","Anzahl","44","p"
"2020W05","AT335","Männer","Anzahl","25","p"
"2020W05","AT335","Frauen","Anzahl","19","p"
"2020W05","AT341","Insgesamt","Anzahl","15","p"
"2020W05","AT341","Männer","Anzahl","6","p"
"2020W05","AT341","Frauen","Anzahl","9","p"
"2020W05","AT342","Insgesamt","Anzahl","54","p"
"2020W05","AT342","Männer","Anzahl","16","p"
"2020W05","AT342","Frauen","Anzahl","38","p"
